"sentence","tag"
"whats like property. located super close restaurants bars short ride away spectacular shopping. 2 restaurants inside outstanding staff went honeymoon.","Facilities"
"absolutely nothing!!!","Facilities"
"love staying hoxton. nice vibe. lively, modern, fun. good chain. good time.","Facilities"
"seabird booked months ago getting table terrace proved difficult. got end boy did persist! views wonderful highly recommend.","Facilities"
"excellent service staff breakfast delicious","Facilities"
"loved welcome arrived. eugene great. room bathroom lovely. clean loved decor. location great. got bus kings cross just walked saw sights!","Facilities"
"felt roof restaurant overpriced standard food received. service wasnt great wine appeared afterthought quality rest hotel. wines tried restaurant bar good considering price.","Facilities"
"hotel nicely designed room shoebox quite small, charming cozy. location ist great close underground major sights. rooftop bar phenomenal requires reservation hotel guests. also, service excellent loved communicate reception whatsapp answered seconds. overall, loved stay hoxton southwark love come again!","Facilities"
"stylish appointed hotel great location. beautiful communal areas bars ground floor roof terrace exceptional. staff lovely, cool remember there. requests extras room dealt quickly efficiently. significant birthday given bottle wine room thoughtful handwritten note.","Facilities"
"single drawer room. sorry, cool be, needs drawer .. err.. drawers. storage space room poor general 6 hangers 2 people staying 4 nights. fairness, requested brought immediately. mentioned lack drawers checkout receptionist agreed, clearly heard comments before. gym knew booked, obviously, website mentioned link ups local gyms dont exist. staff desk suggest pure gym unspecified walk away, details, it. hotel aimed client base use gym, me, definitely demerit.","Facilities"
"chap bar fantastic downstairs","Facilities"
"just shame car park isnt near","Facilities"
"like hotel restaurant.","Facilities"
"room small.","Facilities"
"great location, really helpful staff really nice vibe place","Facilities"
"fab, stayed stay im sure","Facilities"
"perfect. reception team helpful friendly.","Facilities"
"great location, staff really helpful friendly rooms perfect.","Facilities"
"comfortable bed. fantastic lobby area. breakfast great. good bar area too. family friendly","Facilities"
"nextdoor using shower, hear annoying buzzing sound","Facilities"
"good 5 opinion. really clean, modern, brilliant service. food drink great. location dream.","Facilities"
"tiny amend room service run past 2150 evening, came home loved order meal room past 10.","Facilities"
"everything, aspect hox disappointed.","Facilities"
"really wasnt dislike hox.","Facilities"
"amazing room staff friendly helpful","Facilities"
"stayed hoxton southbank hours stop way new york paris. loved rooftop bar restaurant, perfect meet friends, andor grab lovely drink dinner incredible view london.","Facilities"
"stayed floor cieling repair, exposed wiring poor lighting. paid 400 night, definitely splurge, detracted experience.","Facilities"
"loved vibe hotel","Facilities"
"beds soft little worn","Facilities"
"lovely room overlooking garden quiet. lively loungebarrestaurant great breakfasts great evenings too. rooms wellequipped, liked teacoffee water. staff friendly obliging. lovely rooftop barrestaurant.","Facilities"
"outdoor table service erratic using app. rooms cleaned request, automatic.","Facilities"
"restauant hotel lovely","Facilities"
"social areas atmospheric nicely lit.","Facilities"
"decor bedroom disappointing looked like hadnt finished.not taste","Facilities"
"excellent location. friendly efficient staff. designed room. good atmosphere","Facilities"
"good location underground","Facilities"
"really lovely hotel great atmosphere staff friendly helpful.","Facilities"
"location great! walking distance everything!","Facilities"
"room size downfall!","Facilities"
"location great, sraff super friendly helpful! nice interior.","Facilities"
"breakfast limited options la carte, super expensive.. extra bed child equipped low quality mattress.","Facilities"
"lovely room, quite small nicely appointed. clothes steamer! beautiful shower.","Facilities"
"lifts room quite limited.","Facilities"
"great hotel, lovely staff. good vibes","Facilities"
"overall great! room entering wasnt 100 clean. items left room accident cleaner overall clean perfect.","Facilities"
"overall great!","Facilities"
"exceptionally kind considerate staff. stay hoxton return london!","Facilities"
"decor stunning, view seabird amazing location great exploring london.","Facilities"
"value money isnt good service ok, facilities arent great foodcoffee expensive.","Facilities"
"room decor really nice. bathroom lovely soft towels good products. staff helpful friendly.","Facilities"
"pillows bit soft.","Facilities"
"rooms bit small. nice desk type work space plenty space lobby least.","Facilities"
"beautifully furnished, staff lovely view stunning seabird.","Facilities"
"fault bit.","Facilities"
"did avail breakfast option","Facilities"
"quite upmarket, wasnt necessary day trip london. suitable romantic weekend.","Facilities"
"room small,but required nights stay.","Facilities"
"werent able turn air despite changing room temperature. woke freezing night unable increase temperature.","Facilities"
"hoxton nice style it, cool, calm collected. staff friendly welcoming. ideal location south bank, tate modern, borough market host south river places","Facilities"
"room bit small, needed. comfortable quiet","Facilities"
"funky , love seabird","Facilities"
"expensive","Facilities"
"clean room. lovely view hotel. good air conditioning.","Facilities"
"breakfast expensive little disappointing. doughy croissants. fresh air room.","Facilities"
"hotel rooms clean. rooms r small","Facilities"
"modern brand new facilities. nicely appointed bathroom lovely interiors. seabird restaurant terrific loud. outdoor seating fantastic windy.","Facilities"
"restaurant service seabird albie uneven. long spans attention forgetful order. bed pillows collapse nothing. prefer different options.","Facilities"
"appointed. room cute bathroom exceptional. love style. roof restaurant spectacular view. oysters best had. definitely return.","Facilities"
"wonderful design position plus amazing staff","Facilities"
"nice relaxed vibe lobby bar restaurant area efficient check","Facilities"
"small room price iron room","Facilities"
"great location, super friendly helpful staff. comfortable room.","Facilities"
"staff super friendly !","Facilities"
"little overpriced","Facilities"
"everything!!!","Facilities"
"taxi drop people outside hotel bike lane.","Facilities"
"location, cleanliness","Facilities"
"small rooms beds","Facilities"
"room quiet comfortable","Facilities"
"public areas noisy loud music. suitable hearing loss","Facilities"
"great unique style. friendly helpful staff. great central location trip westend","Facilities"
"super stylish, super clean!! friendly, helpful, us. layout lovely, rooms fabulous! food good, roof bar wonderful surprise especially summers day. location brilliant.","Facilities"
"like, fantastic hotel!","Facilities"
"atmosphere relaxing guest hotel. staff excellent, attentive charming. food delicious wonderful ambiance sky bar ground floor dining created stylish decor excellent staff provided 5 star service starched shirts bow ties!","Facilities"
"genuinely nothing!","Facilities"
"superb design. kind friendly staff.","Facilities"
"kettle room didnt work tv. kettle fixed promptly. long wait breakfast.","Facilities"
"staff friendly, extremely rare good service nowadays. decor room different good different bed comfortable, best nights sleep!! unfortunately did time eat coffee amazing.","Facilities"
"mix booking, mistake arriving day late. initially saying it, came good moved 2 night dates forward day clearly genuine mistake. result, again. desk staff great.","Facilities"
"hassled downstairs bar area able drink alcohol 11pm bit ridiculous residents hotel. checked invoicing, charged 3 nights corrected called, needed call.","Facilities"
"location excellent, cute neighborhoods access central london. great view, room stylish comfortable. great fresh milk coffee minifridge guests use like.","Facilities"
"staff welcoming. coffee room bad. better version instant nespresso machine pleasing.","Facilities"
"staff friendliest come hotel genuine.","Facilities"
"fact stay longer.","Facilities"
"nice lobby helpful staff.","Facilities"
"room small.","Facilities"
"didnt feel staff desk particularly helpful accommodating requests expected","Facilities"
"ive enjoyed staying hotel more. staff attentive amazing feel great especially traveling solo.","Facilities"
"team hoxton southwark went way help celebrate anniversary. welcome 4.8 stars. great time.","Facilities"
"service took bar. food took little longer expected staff apologised.","Facilities"
"really nice rooms hotel overall","Facilities"
"staff quite unhelpful, abrasive night staff worst. slow bar service. bar shuts quite early youre staying night want nightcap, first. overall did feel welcome all.","Facilities"
"efficient, friendly helpful staff, cleaniness rooms, porsche ambience seabird restaurant. hip vibrant atmosphere whole. like makeup room service provided based request. daily free milk drinking water provided. casual comfy breakfast area albie. felt like london, sonewhere hiking resort.","Facilities"
"hox benny orange juice albie bit disappointing. good serve pancakes english breakfast instead item item....","Facilities"
"spectacular stays life thanks hox girls staff went us. customer service completely changed experience best stay ive hotel ever.","Facilities"
"beautiful lobby nice bar area modern decor. cozy room nice lighting.","Facilities"
"small room barely open suitcase. mini bar, 15 min drive central london areas.","Facilities"
"chic interiors relaxed vibes clean room stunning rooftop bar great bar staff, knew exactly make cocktails menu quick responsive staff housekeeping queries great location, close tube station walking distance main sights delicious brunch","Facilities"
"bed pillows soft room amenities limited housekeeping standard","Facilities"
"staff member happy help smile face!","Facilities"
"great hotel, good service. girlfriends 30th birthday bar girl samia stay memorable.","Facilities"
"liked everything.","Facilities"
"lovely trendy industrial urban style hotel great location, welcoming atmosphere staff, amazing roof bar, bedroom bathroom nicely decorated too, fresh milk fridge complimentary gift make coffee tea room!","Facilities"
"ventilation better, open window aerate room bit unpleasant smell coming bathroom, bad though. bit confusion breakfast morning, ended paying tea coffee told free checking in. partner wasnt aware didnt realise paid breakfast. major issue staff page.","Facilities"
"great new property amazing restaurants albie seabird, rooms small chic","Facilities"
"really lovely bedroom , friendly staff, beautiful restaurant lounge area","Facilities"
"bathroom smelled bit musty.","Facilities"
"books room! cool decor! comfy bed! delicious breakfast single staff member helpful friendly.","Facilities"
"modern, clean, great location. room needed short stay. staff extremely helpful efficient. short walk blackfriars city.","Facilities"
"vibe place amazing. got sort young energy upbeat character really refreshing. like great food drinks hotel high quality accommodations, place you. seriously.","Facilities"
"irons room. steamer thing takes forever day heat up, doesnt work iron.","Facilities"
"relaxed hotel friendly staff. great location. excellent seafood restaurant floor. book table advance!! buy stuff mini bar reception supermarket prices.","Facilities"
"drawers clothes just small rail. dont housekeeping unless ask excellent.","Facilities"
"great location, lovely friendly staff. room quite small perfectly formed! great views rooftop restaurant","Facilities"
"small rooms, breakfast wasnt amazing, bit cold","Facilities"
"breakfast brilliant complaint asked leave booking apparently table told rush little. staff great. room great. overall brilliant","Facilities"
"fabulous hotel great location","Facilities"
"phone charging docks rooms. leave phone reception want charge","Facilities"
"relaxed atmosphere. good design. roof bar delightful.","Facilities"
"room comfortable, small great person staying just night. modern decor buzzy atmosphere bar restaurant. upstairs mezzanine level great need sit laptop catch work. great central location, close tube walking distance river southbank attractions.","Facilities"
"room little small, staying longer preferred larger room.","Facilities"
"star amenities lacking, including food service 10 pm, room cleaning laundry service.","Facilities"
"breakfast, staff location superb.","Facilities"
"ropms small offer expensive.","Facilities"
"great location near tube.. good restaurants,, food fab .. comfy bed","Facilities"
"lack information room","Facilities"
"vintage touch room .","Facilities"
"perfect","Facilities"
"great location, close tube","Facilities"
"loved location, vibe, food, hospitality cleanliness","Facilities"
"small complaint housekeeping loud. mornings early evenings hear slamming loud talking disruptive. again, small complaint. superb.","Facilities"
"friendlystaff atmospheric restaurantbar","Facilities"
"bed linen rough pillows bit hard","Facilities"
"beautiful, modern clean.","Facilities"
"room perfectly designed dressed. albies perfect breakfast fast service great food.","Facilities"
"great vibe, fun common areas. need room.","Facilities"
"great lively atmosphere. great location.","Facilities"
"good bed, equipped, good decor","Facilities"
"lovely modern friendly. great location","Facilities"
"waited ages cocktail .","Facilities"
"fantastic hotel great vibe superb location.","Facilities"
"check line way long.","Facilities"
"clean, comfortable stylish. great atmosphere bar area. check staff lovely bar manager ensured got perfect seat friendly service. return visit.","Facilities"
"nothing.","Facilities"
"friendly helpful staff. room comfortable hotel wellplaced visit key london sites.","Facilities"
"excellent newish hotel southwark. helpful staff comfortable facilities. good food drink.","Facilities"
"quite trendy cool...could bit prefer bit traditional. didnt honour price match, booking.com fault.","Facilities"
"fantastic retro feel, presented rooms immaculate bathroom. lovely bar restaurant.","Facilities"
"lacked welcome arrival, check great went bar drink staff ignored , didnt welcome expect!","Facilities"
